Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Training berufsbezogenen Eignungsbeurteilung nach DIN 33430,Deutsche Psychologen Akademie  Deutsche Psychologen Akademie GmbH,85121270 Dienstleistungen von Psychiatern oder Psychologen,1.0,"85.818,01",29.10.2024
HSM-Infrastruktur,Utimaco IS GmbH,30210000 Datenverarbeitungsgeräte (Hardware),6.0,"83.598,00",25.10.2024
Abruf aus Rahmenvereinbarung,Bechtle Austria GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"76.000,00",25.10.2024
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"98.370,00",23.10.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"717.700,00",22.10.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"309.960,00",22.10.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"128.952,00",22.10.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"149.340,00",22.10.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"265.052,00",22.10.2024
Abruf aus Rahmenvereinbarung: App Prototyping UX Frontend,Sclable Business Solutions GmbH,72200000 Softwareprogrammierung und -beratung,4.0,"344.000,00",22.10.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"118.800,00",22.10.2024
Gastroküche Buffetausgabe Brigittenau,Lohberger GmbH. Zentrale,39314000 Industrielle Kücheneinrichtungen,3.0,"89.496,48",22.10.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"85.800,00",21.10.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"99.330,00",21.10.2024
Lebensmittel & Getränke,,"15000000 Nahrungsmittel, Getränke, Tabak und zugehörige Erzeugnisse",,,18.10.2024
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"77.980,00",17.10.2024
IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"800.900,00",14.10.2024
CRM & PowerPlattform,Rahmenvereinbarung mit mehreren Unternehmern,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",14.10.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"172.000,00",11.10.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"145.455,00",11.10.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"111.515,50",11.10.2024
"Abruf von der Rahmenvereinbarung ""Lizenzen, Implementierung sowie Wartung einer DCIM Software""",Nlyte Software - a Carrier Company,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"51.256,00",08.10.2024
Beratungsleistungen strategische IT,Ernst & Young Management,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"210.600,00",07.10.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"67.989,94",04.10.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"94.600,00",04.10.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"74.820,00",04.10.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"95.016,00",27.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"72.240,00",27.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"78.260,00",27.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"92.880,00",27.09.2024
Beratungsleistungen strategische IT,PwC Strategy& (Austria) GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"54.720,00",20.09.2024
Bildschirmbrillen für Mitarbeiter der ÖBB,Wutscher Optik KG Verkauf,33734000 Brillen,3.0,"622.950,00",20.09.2024
eProcurement 4.0,ALISCO GMBH,72220000 Systemberatung und technische Beratung,3.0,"91.600,00",17.09.2024
eProcurement 4.0,ALISCO GMBH,72220000 Systemberatung und technische Beratung,3.0,"89.800,00",17.09.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"96.228,00",16.09.2024
Rahmenvereinbarung MUM,Netconomy GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"210.511,00",13.09.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"89.490,00",13.09.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",13.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.140,92",13.09.2024
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"54.656,00",12.09.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"805.700,00",09.09.2024
Abruf aus Rahmenvereinbarung,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"133.848,00",09.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"267.030,00",09.09.2024
Rahmenvereinbarung MUM,Netconomy GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"51.850,00",06.09.2024
Rahmenvereinbarung INFRALIFE,3B infra infrastruktur management,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"62.435,00",05.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"69.660,00",05.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"54.094,00",05.09.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"74.906,00",05.09.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"68.700,00",30.08.2024
Abruf aus Rahmenvereinbarung,active business consult,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"52.200,00",30.08.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",30.08.2024
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.010,00",30.08.2024
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.010,00",30.08.2024
Abruf aus Rahmenvereinbarung,Evolit Consulting GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"168.004,20",29.08.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",29.08.2024
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"70.010,00",29.08.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"74.020,00",26.08.2024
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"80.693,25",26.08.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"85.559,40",26.08.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"58.700,00",21.08.2024
Gastroküche Buffetausgabe Brigittenau,,39314000 Industrielle Kücheneinrichtungen,,,21.08.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",20.08.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"94.600,00",20.08.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,72210000 Programmierung von Softwarepaketen,5.0,"76.835,00",20.08.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"186.600,00",14.08.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"976.102,32",14.08.2024
Abrufbestellung aus Rahmenvereinbarung,Tietoevry Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"199.120,00",14.08.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",14.08.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"538.275,00",14.08.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",14.08.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",14.08.2024
Erneuter Wettbewerb Beratungsleistungen NIS Gesetz,KPMG Advisory GmbH KPMG Advisory GmbH,79417000 Sicherheitsberatung,1.0,"215.531,25",12.08.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"88.320,00",12.08.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"92.192,00",12.08.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"86.400,00",12.08.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"384.840,00",07.08.2024
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.210,00",01.08.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"101.270,16",01.08.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"119.520,00",01.08.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",01.08.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"139.750,00",01.08.2024
IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"195.172,80",01.08.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.08.2024
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.210,00",01.08.2024
Essens- und Cateringzustellung in Linz,SAY Express GmbH Logistik - Transport - Spedition,55300000 Restaurant- und Bewirtungsdienste,2.0,"170.352,00",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"215.040,00",31.07.2024
Abrufbestellung aus Rahmenvereinbarung,Tietoevry Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"179.208,00",31.07.2024
Abrufbestellung aus Rahmenvereinbarung,Tietoevry Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"139.698,00",31.07.2024
Enterprise Identity & Access Management (EIAM),IPG Information Process,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"198.520,86",31.07.2024
Abruf aus Rahmenvereinbarung: App Prototyping UX Frontend,Sclable Business Solutions GmbH,72200000 Softwareprogrammierung und -beratung,4.0,"301.000,00",31.07.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"107.388,00",31.07.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"221.400,00",31.07.2024
IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"680.765,00",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"224.678,40",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"176.601,60",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"279.667,20",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"407.156,64",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"1.075.200,00",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"1.051.364,16",31.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"453.266,40",31.07.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",29.07.2024
Abruf aus Rahmenvereinbarung,Microsoft Ireland Operations Ltd.,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"69.457,00",25.07.2024
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"93.362,50",25.07.2024
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"97.253,63",25.07.2024
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"93.830,00",25.07.2024
Unterhaltsreinigung Lassallestraße 5,Sodexo Service Solutions,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0.0,"386.851,85",25.07.2024
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",KPMG Advisory GmbH,79410000 Unternehmens- und Managementberatung,0.0,"54.000,00",25.07.2024
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Bechtle Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"96.640,46",25.07.2024
Abruf aus Rahmenvereinbarung,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"82.368,00",25.07.2024
Abruf aus Rahmenvereinbarung,PwC Advisory Services GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"89.812,80",25.07.2024
Beratungsleistungen Organisation,AnneBreitner GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0.0,"130.600,00",25.07.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"4.514.992,55",25.07.2024
Abrufbestellung aus einer Rahmenvereinbarung,BearingPoint Technology GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"99.484,00",25.07.2024
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,72240000 Systemanalyse und Programmierung,0.0,"206.250,00",25.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,72220000 Systemberatung und technische Beratung,1.0,"311.400,00",25.07.2024
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"50.349,75",25.07.2024
Beratungsleistungen für agile Transformation,RodriguezPardo GmbH,79411000 Allgemeine Managementberatung,2.0,"87.300,00",24.07.2024
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,ByteSource Technology Consulting GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"804.008,50",24.07.2024
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,ByteSource Technology Consulting GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"192.000,00",24.07.2024
IT Dienstleistungen - Enterprise Architektur,active business consult Informationstechnologie GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"128.018,00",24.07.2024
IT Dienstleistungen - System Design,Nagarro GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"96.646,67",24.07.2024
IT Dienstleistungen - Development Web,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"60.680,00",24.07.2024
IT Dienstleistungen - Development SharePoint,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.800,00",24.07.2024
eProcurement 4.0,ALISCO GMBH,72220000 Systemberatung und technische Beratung,3.0,"127.800,00",24.07.2024
Abruf aus Rahmenvereinbarung,active business consult Informationstechnologie GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"58.000,00",24.07.2024
Cyber Defense Center,T-Systems Austria GesmbH,72400000 Internetdienste,5.0,"188.826,28",24.07.2024
Abruf aus Rahmenvereinbarung,Concircle Österreich GmbH,72262000 Software-Entwicklung,5.0,"87.758,31",24.07.2024
Abruf aus Rahmenvereinbarung,Software GmbH Österreich,72260000 Dienstleistungen in Verbindung mit Software,1.0,"55.080,00",24.07.2024
Abruf aus Rahmenvereinbarung,Software GmbH Österreich,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"90.782,09",24.07.2024
Citrix Dienstleistungen,Bechtle GmbH,72200000 Softwareprogrammierung und -beratung,3.0,"121.500,00",24.07.2024
Abruf aus Rahmenvereinbarung,Solvion information management GmbH,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",1.0,"80.907,10",24.07.2024
Atlassian - Lizenzen & Dienstleistungen,Now Consultians GesmbH & Co. KG,72260000 Dienstleistungen in Verbindung mit Software,0.0,"148.120,00",24.07.2024
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,ByteSource Technology Consulting GmbH,72261000 Software-Unterstützung,3.0,"98.000,00",24.07.2024
Abruf aus Rahmenvereinbarung,SAP Österreich GmbH,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"370.500,00",24.07.2024
Abruf aus Rahmenvereinbarung,IVM Technical Consultants Wien Gesellschaft m.b.H.,72261000 Software-Unterstützung,7.0,"140.400,00",24.07.2024
Die ÖBB-Holding AG sowie die mit ihr im Sinne des § 228 (3) UGB,BearingPoint Technology GmbH,72260000 Dienstleistungen in Verbindung mit Software,5.0,"94.283,84",24.07.2024
Abruf aus Rahmenvereinbarung,Accenture GmbH,72210000 Programmierung von Softwarepaketen,7.0,"54.788,40",24.07.2024
Bildschirmbrille,Hartlauer Handelsgesellschaft m.b.H,33734000 Brillen,0.0,"52.292,50",24.07.2024
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"368.000,00",24.07.2024
Beratungsleistungen operative Unternehmensführung,Ernst & Young Parthenon Management Consulting GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0.0,"144.495,00",24.07.2024
Abrufbestellung aus Rahmenvereinbarung,Deloitte Consulting GmbH,48100000 Branchenspezifisches Softwarepaket,0.0,"525.500,00",24.07.2024
Beratungsleistungen strategische IT,PwC Strategy& (Austria) GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"85.001,40",24.07.2024
Beratungsleistungen strategische IT,KPMG Advisory GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"98.752,50",24.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"55.992,00",24.07.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.250,00",24.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",24.07.2024
Abruf der Rahmenvereinbarung,POLYGONS GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"80.000,00",23.07.2024
Rahmenvereinbarung Druckerzeugnisse ÖBB,Gerin Druck GmbH,79800000 Druckereidienste und verbundene Dienstleistungen des Druckgewerbes,0.0,"10.980.000,00",23.07.2024
Abruf aus Rahmenvereinbarung,COMPAREX Austria GmbH,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1.693.943,59",23.07.2024
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"62.400,00",23.07.2024
IT Dienstleistungen - Testing und Quality Assurance,Accenture GmbH,72220000 Systemberatung und technische Beratung,0.0,"160.301,49",23.07.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"96.970,00",23.07.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"90.945,00",23.07.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"58.050,00",23.07.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"54.180,00",23.07.2024
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"95.400,00",23.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.07.2024
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"78.500,00",23.07.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"77.908,50",23.07.2024
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.273,00",23.07.2024
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.210,00",22.07.2024
IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"520.585,00",22.07.2024
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"63.075,00",22.07.2024
Abruf aus AKÜ-Verträgen,SELECT Personalservice GmbH,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,0.0,"70.000,00",22.07.2024
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"215.000,00",22.07.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"82.654,00",22.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"84.990,00",22.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.07.2024
"Abruf aus Rahmenvertrag ""Digitale Checklisten"".",Augment IT AG,48000000 Softwarepaket und Informationssysteme,6.0,"68.000,00",22.07.2024
